PlaceName,Latitude,Longitude
"Near Kamalapur, Hampi 583 221 India",15.3350132,76.46002399999999
"Hampi Bazaar, Hampi India",15.3341232,76.4643603
"Kempegowda International Airport Road Behind ITC Factory, Tarabanahalli Village Road, Bengaluru 562157 India",12.9692232,77.7214178
"Belekan Road Kahani Paradise Estate, Belekan, Gokarna 581326 India",14.5203851,74.33919329999999
"Kudle Beach Road Hill Top Gokarna, Gokarna 581326 India",14.5432369,74.3171358
"Om Beach Road, Melinakeri, Gokarna 581326 India",14.533117,74.3263378
"NH 66, Kottara Chowki Near Infosys, Mangalore 575006 India",12.5342681,74.9663858
"58/4 Gokarna Main Beach Road, Gokarna 581326 India",14.5437352,74.3136288
"Door No. 5-7-508/31 Ward No 29 Navabhrath Circle, Kodialbail, Mangalore 575003 India",12.8746895,74.8400869
"Om Beach, Donibhail, Gokarna 581326 India",14.5192405,74.3230039
"Lakshmipura, Dasarahalli Village, Kaimara Post, Chikmagalur 577101 India",13.3806019,75.75332019999999
"Golf Club Road Allampura, Chikmagalur 577101 India",13.3578452,75.7637998
"116 Kiadb Industrial Growth Centre, Hassan 573201 India",13.0186337,76.0949844
"No 275 Erealla Survey DasaraHalli Grama, Chikmagalur India",13.3161441,75.7720439
"Hesagodu Village, Banakal Hobli Mudigere Taluk, Chikmagalur 577113 India",13.1401275,75.54950459999999
"Mallenahalli Road, Hosahalli, Chikmagalur 577101 India",13.5472821,76.2326889
"B.M Road Jewellery Hassan Opposit to Malabar Gold, Hassan 573 201 India",13.0010296,76.09834769999999
"Jenkal-Hodachahalli Hodachahalli Village, Hanbal P.O, Sakleshpur, Hassan 573165 India",12.99051,75.68736299999999
"203, Vinayaka Plantations, Hosahalli Pete Post, Chikmagalur 577130 India",13.3161441,75.7720439
"Indira Gandhi Road Pension Mohalla, Beside Karnataka Bank, Chikmagalur 577101 India",13.3231937,75.7720939
"Vinayaka Block Belur Road Next to Keerthi Krishna Conventional hall, Chikmagalur 577101 India",13.3079049,75.7822338
"Indira Gandhi Rd Srungar Circle, Opposite To Main Syndicate Bank, Joythinagar, Chikmagalur 577101 India",13.3218692,75.7763927
"SH- 57, Bhadra Wildlife Sanctuary, Chikmagalur 577137 India",13.6948738,75.635227
